tD,tR_over_tD,time,samples,dt,odd_mean,odd_stderr,even_mean,even_stderr,max_bond_dimension,mean_cumulative_jumps
0.98,1.02040816327,0,4,0.025,0.02163772651773256,0,0.06025784985001684,0,100,0
0.98,1.02040816327,0.1,4,0.025,0.0215880631122448,0,0.06012101034715524,0,100,0
0.98,1.02040816327,0.2,4,0.025,0.02153938448693771,0,0.05998569198211881,0,100,0
0.98,1.02040816327,0.3,4,0.025,0.02149230436605149,0,0.05985325868035906,0,100,0
0.98,1.02040816327,0.4,4,0.025,0.02144640803311614,0,0.05972406247649856,0,100,0
0.98,1.02040816327,0.5,4,0.025,0.02140106341082374,0,0.0595978192210125,0,100,0
0.98,1.02040816327,0.6,4,0.025,0.02135709992080615,0,0.0594757631001961,0,100,0
0.98,1.02040816327,0.7,4,0.025,0.0225061449895406,0.001189988220349135,0.05707947649662524,0.002281025232042481,100,0.25
0.98,1.02040816327,0.8,4,0.025,0.02246944754209578,0.001190595501496636,0.05706001867423595,0.002193552649093796,100,0.25
0.98,1.02040816327,0.9,4,0.025,0.02244887975703233,0.001204763192168368,0.05717700152148714,0.001976776471518567,100,0.25
0.98,1.02040816327,1,4,0.025,0.02244893998813825,0.001237427209829518,0.05741162639053839,0.001648565428129073,100,0.25
0.98,1.02040816327,1.1,4,0.025,0.02247340353777767,0.001291623934843262,0.05774059960223445,0.001233261087219615,100,0.25
0.98,1.02040816327,1.2,4,0.025,0.02252430015101815,0.001368582231683971,0.05814371884749935,0.0007527701137232234,100,0.25
0.98,1.02040816327,1.3,4,0.025,0.02260331079802833,0.001469326557931509,0.05860110976292059,0.0002283538706574877,100,0.25
0.98,1.02040816327,1.4,4,0.025,0.02271405197569424,0.001597691946859711,0.0590789485972785,0.000306216739457332,100,0.25
0.98,1.02040816327,1.5,4,0.025,0.02286223859466116,0.001759663907020577,0.05951803586181439,0.0007925434474095189,100,0.25
0.98,1.02040816327,1.6,4,0.025,0.02305042967378763,0.001957251867434191,0.05984712667601233,0.001159413024784877,100,0.25
0.98,1.02040816327,1.7,4,0.025,0.02326912978766276,0.002180626480147881,0.06001461954801603,0.001354404992241705,100,0.25
0.98,1.02040816327,1.8,4,0.025,0.0243342569104641,0.002268882903568108,0.0600453370183667,0.001354019131122506,100,0.5
0.98,1.02040816327,1.9,4,0.025,0.02457190010947761,0.002456793427133149,0.05988655546277245,0.001195747874213929,100,0.5
0.98,1.02040816327,2,4,0.025,0.02479419997785418,0.002605765821670276,0.05958247750347637,0.0008716647627553394,100,0.5
0.98,1.02040816327,2.1,4,0.025,0.02500225859921758,0.002719123001057179,0.05911465499415333,0.0003613923032321253,100,0.5
0.98,1.02040816327,2.2,4,0.025,0.02520478466287869,0.002809771953418767,0.0584752043918919,0.000405771559514419,100,0.5
0.98,1.02040816327,2.3,4,0.025,0.02539660770754332,0.002880415676943847,0.05768726380702646,0.00133104932785878,100,0.5
0.98,1.02040816327,2.4,4,0.025,0.02553498945973018,0.002904215989147743,0.05682143287437567,0.002410667704427048,100,0.5
0.98,1.02040816327,2.5,4,0.025,0.02556038025513846,0.002840450023463156,0.05597284122345543,0.003554987219411086,100,0.5
0.98,1.02040816327,2.6,4,0.025,0.02544454681571915,0.002674585673075279,0.05523304759086308,0.004680066803519007,100,0.5
0.98,1.02040816327,2.7,4,0.025,0.02521467664656015,0.002438876985358938,0.05466411567642037,0.005723602290847498,100,0.5
0.98,1.02040816327,2.8,4,0.025,0.02598022052433888,0.002719763394258909,0.05400560485229591,0.006519796291850154,100,0.75
0.98,1.02040816327,2.9,4,0.025,0.02501450885021398,0.002369684429754674,0.05793556544475988,0.003406351596007271,100,1
0.98,1.02040816327,3,4,0.025,0.03373543650072991,0.006646335756064493,0.05594812836257886,0.004364812439431603,100,1.25
0.98,1.02040816327,3.1,4,0.025,0.03352943219253104,0.006735244175509757,0.05644927060443362,0.004766899804059537,100,1.25
0.98,1.02040816327,3.2,4,0.025,0.03251185241603911,0.007006582056206002,0.05707222700495619,0.005105127392196205,100,1.25
0.98,1.02040816327,3.3,4,0.025,0.03170402278389786,0.007102149490076332,0.05774330526111673,0.005371619889791674,100,1.25
0.98,1.02040816327,3.4,4,0.025,0.03173125828835446,0.0067435196559316,0.05838874830356741,0.005567100578570188,100,1.25
0.98,1.02040816327,3.5,4,0.025,0.03223756297072347,0.006310307471942144,0.05891565118667083,0.00571750311267158,100,1.25
